configuracion,n,threshold,TN,FP,FN,TP,accuracy,balanced_accuracy,precision,recall,F1,ROC_AUC,PR_AUC,Brier,seleccionado
sin_ponderacion,99535,0.6549999999999999,75431,1790,14560,7754,0.8357361732054052,0.6621573116442543,0.8124476110645432,0.3474948462848436,0.4867851089208362,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.6599999999999999,75485,1736,14682,7632,0.8350529964334154,0.6597732476873723,0.8146883005977796,0.34202742672761494,0.48178776592386846,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.6649999999999999,75538,1683,14772,7542,0.8346812678957151,0.6580997474383219,0.817560975609756,0.33799408443129875,0.478265005231618,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.6699999999999999,75592,1629,14854,7460,0.8343999598131311,0.6566119817695104,0.8207723621960612,0.3343192614502106,0.47511384262650064,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.6749999999999999,75637,1584,14961,7353,0.8337770633445521,0.6545057553670327,0.8227593152064451,0.3295240656090347,0.4705769415378708,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.6799999999999999,75689,1532,15049,7265,0.833415381524087,0.6528705951097612,0.8258497214959646,0.3255803531415255,0.46703738227636526,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.6849999999999999,75738,1483,15162,7152,0.8327723916210378,0.6506558236545718,0.8282570932252461,0.3205162678139285,0.4621797150150247,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.69,75775,1446,15264,7050,0.8321193550007535,0.6486098351571055,0.8298022598870056,0.3159451465447701,0.45764362220058424,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.695,75833,1388,15367,6947,0.8316672527251721,0.6466774125775557,0.8334733053389323,0.3113292103612082,0.4533263728017227,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.7,75881,1340,15457,6857,0.831245290601296,0.644971537715382,0.8365255581310236,0.307295868064892,0.4494772377175445,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.705,75924,1297,15566,6748,0.8305822072637765,0.6428075465532515,0.8387818520820385,0.302411042394909,0.4445469218353701,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.71,75967,1254,15672,6642,0.8299492640779625,0.6407107777627263,0.8411854103343465,0.2976606614681366,0.4397219463753724,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.715,76003,1218,15765,6549,0.8293766011955593,0.6388599814574512,0.84318269602163,0.29349287442860983,0.4354243542435424,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.72,76055,1166,15868,6446,0.828864218616567,0.6368887093421534,0.846820809248555,0.28887693824504795,0.43079596337632825,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.725,76104,1117,15976,6338,0.8282714622996936,0.6347859751729727,0.850167672702884,0.2840369274894685,0.4258120863986026,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.73,76141,1080,16098,6216,0.8274174913347064,0.6322918375314713,0.8519736842105263,0.27856950793223983,0.4198581560283688,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.735,76182,1039,16208,6106,0.8267242678454815,0.6300924890668897,0.8545836249125263,0.27363986734785334,0.41454224515428223,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.74,76215,1006,16308,6006,0.8260511377907269,0.6280654157933283,0.856531660011409,0.269158375907502,0.40960240060015,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.7449999999999999,76244,977,16399,5915,0.825428241322148,0.626214109944084,0.858241439349971,0.2650802186967823,0.4050537560775183,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.7499999999999999,76273,948,16499,5815,0.8247149243984528,0.624161136980024,0.8598255212183942,0.26059872725643096,0.3999724868452729,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.7549999999999999,76310,911,16587,5727,0.8242025418194605,0.6224288528833823,0.8627598674299488,0.2566550147889218,0.3956203371096988,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.7599999999999999,76345,876,16677,5637,0.8236499723715276,0.6206388040270878,0.8654997696913864,0.25262167249260553,0.3910916848787595,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.7649999999999999,76382,839,16761,5553,0.8231777766614758,0.6189961497592532,0.8687421777221527,0.2488572196827104,0.3868877586567268,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.7699999999999999,76417,804,16873,5441,0.8224041794343698,0.61671313684452,0.8712570056044836,0.2438379492695169,0.3810357505514899,0.8533493454449823,0.680929669939794,0.1148455285354345,False
